url,output_dir
https://sangeethamshare.org/asokan/CARNATIC/028-Seergazi-AIR-1-17,e829b32a-028-Seergazi-AIR-1-17
https://sangeethamshare.org/asokan/CARNATIC/029-Seergazi-AIR-2-18,bdc1810d-029-Seergazi-AIR-2-18
https://sangeethamshare.org/asokan/CARNATIC/030-Seergazi-DFW-1981-19,b6cb26a6-030-Seergazi-DFW-1981-19
https://sangeethamshare.org/asokan/CARNATIC/031-Somu-MSG-VR-Mahadevan-Bombay-20,dd0f1d0b-031-Somu-MSG-VR-Mahadevan-Bombay-20
https://sangeethamshare.org/asokan/CARNATIC/032-SSI--Oct27,6f8e8785-032-SSI--Oct27
https://sangeethamshare.org/asokan/CARNATIC/033-Sudha-DD-1998-21,63efb583-033-Sudha-DD-1998-21
https://sangeethamshare.org/asokan/CARNATIC/034-Sulamangalam-Sisters,8b996b09-034-Sulamangalam-Sisters
https://sangeethamshare.org/asokan/CARNATIC/036-Tadepalli-Lokanatha-Sharma-23-Oct26,7d5bcbdd-036-Tadepalli-Lokanatha-Sharma-23-Oct26
https://sangeethamshare.org/asokan/CARNATIC/037-Thurayur-Rajagopala-Sharma-24,971e8d2f-037-Thurayur-Rajagopala-Sharma-24
https://sangeethamshare.org/asokan/CARNATIC/038-TMT-MSG-25-Oct26,9f070cfb-038-TMT-MSG-25-Oct26
https://sangeethamshare.org/asokan/CARNATIC/039-TNK-MC/,320cc4ec-039-TNK-MC
https://sangeethamshare.org/asokan/CARNATIC/040-TNS-Bangalore-27,b7ad04e-040-TNS-Bangalore-27
https://sangeethamshare.org/asokan/CARNATIC/041-TVG-Bangalore-1983/,a4610a74-041-TVG-Bangalore-1983
https://sangeethamshare.org/asokan/CARNATIC/042-TVR-MSA-TS-28-Oct26,d1767c0e-042-TVR-MSA-TS-28-Oct26
https://sangeethamshare.org/asokan/CARNATIC/043-Vadivambal-Oct-28,a506203-043-Vadivambal-Oct-28
https://sangeethamshare.org/asokan/CARNATIC/044-SSI-TNK-CSM-Oct31,a28cca0b-044-SSI-TNK-CSM-Oct31
https://sangeethamshare.org/asokan/CARNATIC/045-Satur-LGJ-VR-NP,c1851076-045-Satur-LGJ-VR-NP
https://sangeethamshare.org/asokan/CARNATIC/046-SSI-Nellai-Sabha,1d947128-046-SSI-Nellai-Sabha
https://sangeethamshare.org/asokan/CARNATIC/047-Balchander,db3399c2-047-Balchander
https://sangeethamshare.org/asokan/CARNATIC/048-BVR-BVL,a98286ec-048-BVR-BVL
